term,source,facet,frequency
Graphic designing,profile,skills,2
Hairstyling,profile,skills,2
Health writing,profile,skills,2
Healthcare,profile,skills,2
Investment,profile,skills,2
lead generation,profile,skills,2
Lead Generation,profile,skills,2
Legal research,profile,skills,2
linux,profile,skills,2
marketing,profile,skills,2
Media buying,profile,skills,2
Microsoft,profile,skills,2
Microsoft Office,profile,skills,2
Mobile videography,profile,skills,2
Modeling,profile,skills,2
money,profile,skills,2
motivation,profile,skills,2
Notion,profile,skills,2
Nursing,profile,skills,2
Nutritional Science,profile,skills,2
Organisation,profile,skills,2
Organization,profile,skills,2
Personal assistant,profile,skills,2
Piano,profile,skills,2
Power BI,profile,skills,2
Powerpoint,profile,skills,2
problem solving,profile,skills,2
Product design,profile,skills,2
Product Design,profile,skills,2
Project Coordination,profile,skills,2
project management,profile,skills,2
Public speaker,profile,skills,2
python,profile,skills,2
Reading,profile,skills,2
Reliability,profile,skills,2
rust,profile,skills,2
Sales and marketing,profile,skills,2
Script writing,profile,skills,2
Self development,profile,skills,2
SMM,profile,skills,2
Social Media Strategy,profile,skills,2
sports,profile,skills,2
Sql,profile,skills,2
strategic planning,profile,skills,2
Strategist,profile,skills,2
Styling,profile,skills,2
Team collaboration,profile,skills,2
Team player,profile,skills,2
Team work,profile,skills,2
Travel planning,profile,skills,2
UI/UX design,profile,skills,2
video editing,profile,skills,2
virtual assistance,profile,skills,2
virtual Assistant,profile,skills,2
Volunteer,profile,skills,2
Website design,profile,skills,2
wellness,profile,skills,2
Workflow Automation,profile,skills,2
"""AI automation""",profile,skills,1
"""AI prompt Specialist""",profile,skills,1
"""communication""",profile,skills,1
"""creative writing""",profile,skills,1
"""Customer Support""",profile,skills,1
"""Data analytics""",profile,skills,1
"""Learning and Improvement""",profile,skills,1
"""Product management""",profile,skills,1
"""Technical writing""",profile,skills,1
3d visualization,profile,skills,1
A good listener and problem solver. A therapist,profile,skills,1
Ability to communicate effectively,profile,skills,1
Academic proficiency,profile,skills,1
accessforafricans,profile,skills,1
Accountability officer,profile,skills,1
Accounting & Financial Statement Analysis,profile,skills,1
active listener,profile,skills,1
activeincome,profile,skills,1
Adaptability and resilience,profile,skills,1
administration,profile,skills,1
administrative,profile,skills,1
Administrative & Office Management,profile,skills,1
Administrative assistance,profile,skills,1
Administrative officer,profile,skills,1
Administrative skills,profile,skills,1
Administrative Support,profile,skills,1
Administrative virtual assistant,profile,skills,1
Ads,profile,skills,1
Ads management,profile,skills,1
advertising,profile,skills,1
advertising strategist,profile,skills,1
Advocacy,profile,skills,1
advocay,profile,skills,1
Affilate marketing,profile,skills,1
Affiliate marketer,profile,skills,1
Affliate marketing,profile,skills,1
Agriculture,profile,skills,1
Ai,profile,skills,1
Ai Automation,profile,skills,1
Ai content,profile,skills,1
Ai content creation,profile,skills,1
AI engineering,profile,skills,1
Ai Governance,profile,skills,1
AI prompt engineer,profile,skills,1
AI Tools,profile,skills,1
AI Tools & Automation,profile,skills,1
AI-Powered Content Creation,profile,skills,1
AI/Ml,profile,skills,1
Analytical / Structured Thinking,profile,skills,1
Analytical & Critical Thinking,profile,skills,1
Analytical & Problem-Solving Skills,profile,skills,1
Analytical Problem-Solving,profile,skills,1
Analytical skills,profile,skills,1
analytical thinking,profile,skills,1
andragogy,profile,skills,1
Animal health,profile,skills,1
Animation,profile,skills,1
Animations,profile,skills,1
Animator,profile,skills,1
App Design,profile,skills,1
App development,profile,skills,1
Architect,profile,skills,1
Architectural design,profile,skills,1
Architectural Design,profile,skills,1
Architectural drafting,profile,skills,1
Architectural modeling,profile,skills,1
Art,profile,skills,1
Article writing,profile,skills,1
Artificial Intelligence,profile,skills,1
Artificial Intelligence (AI) & Machine Learning,profile,skills,1
Artist,profile,skills,1
Arts and crafts,profile,skills,1
Asana,profile,skills,1
Aspen Hysys,profile,skills,1
Aspiring Chartered Accountant,profile,skills,1
astrologer,profile,skills,1
attention to detail,profile,skills,1
attention to details,profile,skills,1
Attention to details,profile,skills,1
Audiing,profile,skills,1
auditing,profile,skills,1
Automation Setup,profile,skills,1
Avid reader,profile,skills,1
Awareness Campaigns & Online Promotions,profile,skills,1
aws,profile,skills,1
AWS,profile,skills,1
backend developer,profile,skills,1
Bag maker,profile,skills,1
Baisc Web Design,profile,skills,1
Baking of cake and pastries making,profile,skills,1
Banking,profile,skills,1
Basic AI Tools,profile,skills,1
Basic computing,profile,skills,1
Basic content creation,profile,skills,1
Basic digital skills,profile,skills,1
Basic French,profile,skills,1
Basic Web Development,profile,skills,1
Beading making,profile,skills,1
Beautification,profile,skills,1
"Beauty, Self-Care & Personal Branding",profile,skills,1
Biotechnology,profile,skills,1
Blender,profile,skills,1
blockchain development,profile,skills,1
Book publishing,profile,skills,1
Book writer,profile,skills,1
bootstrap,profile,skills,1
Brand Building,profile,skills,1
Brand communication,profile,skills,1
Brand Design,profile,skills,1
Brand development,profile,skills,1
Brand identity design,profile,skills,1
Brand Identity Development,profile,skills,1
brand management,profile,skills,1
Brand Strategy,profile,skills,1
Brand strategy and development,profile,skills,1
Brand to Revenue strategist,profile,skills,1
branding,profile,skills,1
Branding,profile,skills,1
Breeding,profile,skills,1
Budgeting,profile,skills,1
Budgeting and budgetary control,profile,skills,1
Budgeting and control,profile,skills,1
Building design,profile,skills,1
Business & Money Mastery,profile,skills,1
Business adviser,profile,skills,1
Business analyst,profile,skills,1
Business Analytics,profile,skills,1
Business anslysis,profile,skills,1
business development,profile,skills,1
Business Development & Strategy,profile,skills,1
Business development management,profile,skills,1
Business growth consultation,profile,skills,1
Business idea generation,profile,skills,1
business management,profile,skills,1
Business manager,profile,skills,1
business oriented,profile,skills,1
Business owner,profile,skills,1
Business Process Automation,profile,skills,1
Business start up,profile,skills,1
Business strategist,profile,skills,1
Business strategy,profile,skills,1
businessexpansion,profile,skills,1
businessinwestafrica,profile,skills,1
C#,profile,skills,1
Cad design,profile,skills,1
CAD DESIGN,profile,skills,1
Calendar management,profile,skills,1
calender management,profile,skills,1
Campaign management,profile,skills,1
Canva design,profile,skills,1
capacity building,profile,skills,1
capcut,profile,skills,1
Carbon accounting,profile,skills,1
Cardio Pulmonary Resuscitation,profile,skills,1
Career Growth,profile,skills,1
caregiver skills,profile,skills,1
Caregiving,profile,skills,1
Certified Accounting Technician(AAT),profile,skills,1
Chatbot Automation,profile,skills,1
Chef,profile,skills,1
Chemical analyst,profile,skills,1
Cinematography,profile,skills,1
Circuit analysis,profile,skills,1
